"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,covid19_questionnaire,,text,"Record ID",,,,,,,,,,,,,
covid_que_eng_intro,covid19_questionnaire,"<div class=""rich-text-field-label""><p style=""text-align: center;"">COVID-19 Questionnaire - Columbia Patient Cases</p></div>",descriptive,"COVID-19 infection is a major challenge around the world.  You are participating in this research because you were infected by the COVID-19 virus.  By answering these questions about your experience with the viral disease, you will be part of timely research to understand why some people get severe disease, whereas others get mild disease or none at all.  This survey takes approximately 15 minutes to complete.  We are working to gather this information quickly, share information without identifying who you are to researchers around the world, and learning quickly to help others. ",,,,,,,,,,,,,
covid_que_eng_intro1,covid19_questionnaire,,descriptive,"Patient's name : [first_name] [last_name]
Phone Number : [phone_number]
Email Address: [email]",,,,,,,,,,,,,
covid_que_eng_symp,covid19_questionnaire," ",checkbox,"Please describe your symptoms","1, Cough | 2, Fever | 3, Shortness of breath | 4, Fatigue/Lethargy | 5, Muscle pain | 6, Runny nose | 7, Diarrhea, vomiting | 8, Foamy urine | 9, Partial or complete loss of smell | 10, Partial or complete loss of taste",,,,,,,,,,,,
covid_que_eng_cough,covid19_questionnaire,,text,"How many days have you had a cough?",,,number,,,,"[covid_que_eng_symp(1)] = '1'",,,,,,
covid_que_eng_fever,covid19_questionnaire,,text,"How many days have you had a fever?",,,number,,,,"[covid_que_eng_symp(2)] = '1'",,,,,,
covid_que_eng_fever_temp,covid19_questionnaire,,text,"What is the highest temperature you had during your fever?",,"in degrees Fahrenheit",number,,,,"[covid_que_eng_symp(2)] = '1'",,,,,,
covid_que_eng_short_bre,covid19_questionnaire,,text,"How many days did you have shortness of breath?",,,number,,,,"[covid_que_eng_symp(3)] = '1'",,,,,,
covid_que_eng_smell,covid19_questionnaire,,text,"How many days did you have partial or complete loss of smell?",,,number,,,,"[covid_que_eng_symp(9)] = '1'",,,,,,
covid_que_eng_taste,covid19_questionnaire,,text,"How many days did you have partial or complete loss of taste?",,,number,,,,"[covid_que_eng_symp(10)] = '1'",,,,,,
covid_que_eng_meds,covid19_questionnaire,,checkbox,"Do you know if doctors used any of the following medications to treat your COVID-19 illness? ","1, Tylenol (acetaminophen) | 2, NSAIDs (ibuprofen, aspirin, naproxen, celecoxib, diclofenac, indomethacin, piroxicam) | 3, Hydroxychloroquine (Plaquenil) or Chloroquine. | 4, Corticosteroids (prednisone, methylprednisolone, dexamethasone, hydrocortisone) | 5, IL-6 pathway blockers (sarilumab, tocilizumab, siltuximab) | 6, JAK inhibitors (baricitinib, ruxolitinib, fedratinib, tofacitinib) | 7, Remdesivir (GS-5735) or another protease inhibitor | 8, Tamiflu (oseltamivir) or Xofluza (baloxavir marboxil) | 9, Sofosbuvir | 10, Ribavirin | 11, Interferon Alpha | 99, Don't know | 999, Prefer not to answer",,,,,,,,,,,,
covid_que_eng_health,covid19_questionnaire,,radio,"How would you rate your general health?","1, Excellent | 2, Good | 3, Fair | 4, Bad",,,,,,,,,,,,
covid_que_eng_long,covid19_questionnaire," ",yesno,"Do you have a long-term illness or a long-term health problem?",,,,,,,,,,,,,
